id	title	shortDescription	cpvs	AwCritLacksIndicator	AwCritMethodMissingIndicator	AwCritPaymentDeadlineCondIndicator	ContrDescCartellingIndicator	CountOfInvOpsNoCondIndicator	DeadlineIsTightIndicator	DurationLongOrIndefiniteIndicator	FinAbEquityCondIndicator	FinAbMissingMinCondIndicator	FinAbRevenueCondExceedEstimValIndicator	FinAbRevenueCondManyYearsIndicator	FwAgFewParticipantsIndicator	FwAgHighEstimatedValueIndicator	FwAgLongDurationIndicator	FwAgOneParticipantIndicator	HighEstimatedValueIndicator	OfferGuaranteeIsHighIndicator	OpeningDateDiffersFromDeadlineIndicator	PersSitMissingCondIndicator	ProcTypeAcceleratedIndicator	ProcTypeNegotiatedNoJustificationIndicator	RenewalOfContractIndicator	TechCapEURefCondIndicator	TechCapExpertsExpCondManyYearsIndicator	TechCapGeoCondIndicator	TechCapMissingMinCondIndicator	TechCapRefCondExceedEstimValIndicator	TechCapRefCondManyYearsIndicator	TechCapSingleContractRefCondIndicator	cpvs_filtered	cleaned text
100683-2014	A Semmelweis Egyetem, Anatómiai, Szövet- és Fejlődéstani Intézet, Humánmorfológiai és Fejlődésbiológiai Intézet, MTA-KOKI Integratív Neuroendokrinológiai Kutatócsoport részére 1 db konfokális lézerpásztázó mikroszkóp beszerzése és karbantartása	A Semmelweis Egyetem, Anatómiai, Szövet- és Fejlődéstani Intézet, Humánmorfológiai és Fejlődésbiológiai Intézet, MTA-KOKI Integratív Neuroendokrinológiai Kutatócsoport részére 1 db konfokális lézerpásztázó mikroszkóp beszerzése és karbantartása.	38510000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38	['szállítási', 'szerződés', 'a', 'dokumentáció', '2.', 'sz.', 'melléklet', 'meghatározott', 'választékú', 'és', 'mennyiségű', 'nyomtatott', 'verziójú', 'külföldi', 'folyóirat', 'az', 'ugyanezen', 'melléklet', 'meghatározott', 'cím', 'történő', 'szállítás', 'és', 'terjesztés', 'szolgáltatási', 'szerződés', 'a', 'dokumentáció', '3.', 'sz.', 'melléklet', 'meghatározott', 'választékú', 'külföldi', 'elektronikus', 'szakirodalmi', 'folyóirat', 'beszerzés']
100700-2019	Állatállomány gondozása és kapcsolódó feladatok Hivatkozási szám: EKR000046192019	Állatállomány gondozása és az ehhez kapcsolódó üzemeltetési feladatok ellátása, valamint kísérletekben való részvétel	77500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77	['részajánlatonként', 'határozott', 'idejű', 'vállalkozási', 'szerződés', 'a', 'ii', '2.1', 'pont', 'meghatározott', 'takarítási', 'feladat', 'ellátás']
100745-2019	Skatepark tervdokumentációjának elkészítése Hivatkozási szám: EKR000211262019	„A Tócóvölgy gazdaságélénkítő környezeti megújítása” című projekt keretében megvalósuló Skatepark tervdokumentációjának elkészítése	71320000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71	['vállalkozási', 'szerződés', 'a', 'fejér', 'megyei', 'kormányhivatal', 'szent', 'istván', 'tér', '9.', 'sz.', 'alatti', 'épület', 'ablakcsere', 'és', 'egyéb', 'felújítási', 'munka', 'a', 'kivitelezés', 'a', 'következő', 'elvárás', 'szerint', 'kell', 'megvalósít', 'épület', 'fejlesztés', 'előtti', 'átlagos', 'éves', 'fogyasztás', 'energetikai', 'tanúsítvány', 'alap', 'kwh', 'év', 'épület', 'fejlesztés', 'utáni', 'átlagos', 'éves', 'fogyasztás', 'energetikai', 'számítás', 'alap', 'kwh', 'év', 'vállalkozó', 'feladat', 'a', 'megvalósult', 'állapot', 'összhang', 'a', 'fejlesztés', 'utáni', 'számított', 'megtakarítás', 'energiatanúsítvány', 'készít', 'és', 'az', 'a', 'műszaki', 'átadás-átvételi', 'eljárás', 'keret', 'megrendelő', 'részére', 'továbbít', 'a', 'megvalósult', 'állapot', 'készített', 'energiatanúsítvány', 'elkészítés', 'irányadó', 'a', 'kehop-5', '2.2', 'kódszámú', 'pály', 'felhív', 'foglalt', 'előírás']
100763-2019	Egészségbiztosítási szerződés Hivatkozási szám: EKR000119142019	Az ELI-HU Nonprofit Kft. részére szolgáltatásfinanszírozó egészségbiztosítás - beleértve a szolgáltatásszervezést is - fedezetének beszerzése 12 hónap + 12 hónap határozott tartamú szerződés megkötésével.	66512200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66	['vállalkozási', 'keretszerződés', 'kommunikációs', 'és', 'rendezvényszervezési', 'feladat', 'ellátás', 'a', 'máv-star', 'zrt.', 'részére', 'tárgy']
100828-2013	Vállalkozási szerződés műtőasztalok, műtőlámpák, vizsgáló lámpák javítása, szervizelése tárgyban.	Vállalkozási szerződés műtőasztalok, műtőlámpák, vizsgáló lámpák javítása, szervizelése tárgyban. Az Ajánlatkérő „full” szerződésre kér ajánlatot. Az Ajánlattevőnek a szerződés keretében folyamatosan el kell végezni és dokumentálni az „egészségügyi eszközökre” jogszabály által előírt biztonsági felülvizsgálatokat.	50421000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50	['vállalkozási', 'keretszerződés', 'keret', 'az', 'fkf', 'zrt', 'üzemeltetett', 'man', 'mercedes', 'tehergépjármű', 'alváz', 'gyári', 'új', 'vagy', 'ez', 'egyenértékű', 'után', 'gyártott', 'új', 'alkatrész', 'beszerzés', 'és', 'szállítás']
100853-2013	Műanyag csomagolási hulladékok gyűjtése és hasznosítása 2013. évre, szolgáltatás-megrendelési szerződés alapján.	Magyarország közigazgatási területén keletkező műanyag csomagolási hulladékok (EWC 15 01 02) gyűjtése és hasznosítása 2013. évre szolgáltatás-megrendelési szerződés keretében a környezetvédelmi termékdíjról szóló 2011. évi LXXXV. törvény 22. § (1) bekezdése alapján, az Országos Gyűjtési és Hasznosítási Terv (OGyHT) által meghatározott célérték elérése érdekében.	90500000|90511000|90511200|90512000|90514000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90	['kivitelezési', 'közbeszerzés', 'eljárás', 'lefolytatás', 'az', 'áeek', 'projektirányítási', 'igazgatóság', 'által', 'megvalósítandó', 'kelet-magyarországi', '_', 'kivitelezési', 'eljárás', 'tekintet', 'rész', '4.3', 'folyik', '25.', 'ajánlatkérő', 'a', 'kbt.', '104.', '§', 'bek.', 'alap', 'felhív', 'a', 'figyelem', 'hogy', 'tárgyi', 'beszerzés', 'vonatkozás', 'korán', 'keretmegállapodás', 'köt', 'ajánlatkérő', 'az', 'új', 'eljárás', 'megindító', 'felhívás', 'utal', 'kell', 'az', 'a', 'körülmény', 'hogy', 'ugyanazon', 'tárgy', 'már', 'egy', 'keretmegállapodás', 'is', 'megkötés', 'kerül', 'amely', 'ajánlatkérő', 'ezúton', 'tesz', 'elég', 'valamint', 'hatályos', 'keretmegállapodás', 'eset', 'az', 'újonnan', 'induló', 'eljárás', 'hirdetmény', 'közzététel', 'az', 'ajánlatkérő', 'haladéktalan', 'értesítenie', 'kell', 'a', 'keretmegállapodás', 'köt', 'ajánlattevő', 'amely', 'előírás', 'ajánlatkérő', 'szintén', 'elég', 'tesz']
100861-2014	Földgáz energia beszerzése.	Földgáz energia szállítása az ajánlatkérők részére 1.7.2014., 06:00 CET – 1.7.2015., 06:00 CET időszakra vonatkozóan, teljes ellátás alapú földgáz energia kereskedelmi szerződés keretében.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91	['adás-vételi', 'szerződés', 'keret', 'közlekedési', 'jelzőtábla', 'és', 'jelzőbója', 'készlet', 'beszerzés']
100879-2014	Adásvételi szerződés – „Helyszíni ellenőrzést támogató, GPS technológián alapuló PDA készülékek beszerzése a Mezőgazdasági és Vidékfejlesztési Hivatal részére” tárgyában.	Szállítási szerződés – „GPS technológián alapuló PDA készülékek beszerzése a Mezőgazdasági és Vidékfejlesztési Hivatal részére” tárgyában.	38112100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38	['adás-vételi', 'szerződés', 'keret', 'ajánlatkérő', 'az', 'intézmény', 'részére', 'hónap', 'szükséges', 'különféle', 'orvosi', 'gáz', 'kíván', 'beszerez', 'nyertes', 'ajánlattevő', 'feladat', 'képez', 'az', 'egészségügyi', 'gáz', 'gyógyszer', 'minősülő', 'orvosi', 'gáz', 'és', 'gyógyászati', 'valamint', 'diagnosztikai', 'célú', 'gáz', 'folyamatos', 'szállítás', 'és', 'üzem', 'helyezés', 'tartály', 'kihelyzés', 'a', 'gáz', 'ellátó', 'rendszer', 'folyamatos', 'a', 'hatályos', 'jogszabály', 'által', 'előírt', 'karbantartás', 'felülvizsgálat', 'a', 'szerződés', 'időtartam', 'alatt', 'az', 'ajánlatkérő', 'által', 'leadott', 'eseti', 'megrendelés', 'alap', 'az', '1.', 'rész', 'eset', 'darab', 'tartály', 'kihelyezés', 'a', 'szent', 'lászló', 'kórház', 'terület', 'található', 'tartály', 'ajánlatkérő', 'saját', 'tulajdon', 'van', 'a', 'másik', 'telephely', 'szükséges', 'tartály', 'kihelyezés']
100882-2013	Megbízási szerződés „Települési szennyvíztisztító telep bővítése és szennyvízcsatornázás Fegyverneken” KEOP-1.2.0/09-11-2011-0052 azonosítószámú projekt megvalósulási szakaszában FIDIC mérnöki, műszaki ellenőri feladatok ellátására.	Megbízási szerződés „Települési szennyvíztisztító telep bővítése és szennyvízcsatornázás Fegyverneken” KEOP-1.2.0/09-11-2011-0052 azonosítószámú projekt megvalósulási szakaszában FIDIC mérnöki, műszaki ellenőri feladatok ellátására.	71300000|71310000|71318000|71520000|71631000|71631300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71	['győr', 'megyei', 'jogú', 'város', 'egyes', 'intézmény', 'továbbá', 'a', 'győr', 'megyei', 'jogú', 'város', 'önkormányzata', 'és', 'polgármesteri', 'hivatala', 'részére', 'villamos', 'energia', 'beszerzés', 'határozott', 'időtartam', 'szóló', 'adásvételi', 'szerződés', 'keret']
100900-2014	Földgáz energia beszerzése.	Földgáz energia beszerzése.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91	['megbízási', 'szerződés', 'a', 'kiskunhalas', 'ivóvízminőség-javító', 'projekt', 'című', 'keop-1', '3.0', '09-11-2011-0028', 'azonosító', 'számú', 'projekt', 'kapcsolatos', 'fidic', 'mérnöki', 'és', 'műszaki', 'ellenőri', 'feladat', 'ellátás']
100902-2014	Földgáz energia beszerzése.	Földgáz energia szállítása az ajánlatkérő részére 1.7.2014., 06:00 CET – 1.7.2015., 06:00 CET időszakra vonatkozóan, teljes ellátás alapú földgáz energia kereskedelmi szerződés keretében.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91	['különféle', 'kötszer', 'beszerzés', 'a', 'rész', 'meghatározott', 'szerint', 'ajánlatkérő', 'a', 'részajánlat-tétel', 'lehetőség', 'rész', 'biztosít', 'a', 'beszerzés', 'mennyiség', 'rész', 'kerül', 'meghatározás']
101001-2013	Nyírségi Ivóvízminőség-javító Projekthez (KEOP-1.3.0/2F/09-2010-0036) kapcsolódó FIDIC mérnöki feladatok ellátása.	Megbízási szerződés alapján Nyírségi Ivóvízminőség-javító Projekthez (KEOP-1. 3. 0/2F/09-2010-0036) kapcsolódó FIDIC mérnöki feladatok ellátása.	71248000|71318000|71520000|71631300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71	['meglévő', 'épület', 'teljes', 'körű', 'energetikai', 'felújítás', 'átalakítás', 'korszerűsítés', 'és', 'bővítés']
101051-2020	Izzók és fénycsövek beszerzése a KEF részére Hivatkozási szám: EKR001652712019	Izzók és fénycsövek beszerzése a KEF részére	31530000|31531000|31531100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31	['automatizált', 'betegazonosító', 'és', 'betegkövető', 'rendszer']
101062-2020	Tételes elsz.alá eső atezolizumab HA besz. 2020 Hivatkozási szám: EKR000013932020	Onkológiai megbetegedések kezelésére szolgáló tételes elszámolás alá eső atezolizumab hatóanyagot tartalmazó készítmény beszerzése 12 hónap aktív és 4 hónap passzív időszakra	33690000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33	['videotechnikai', 'és', 'biztonságtechnikai', 'eszköz', 'továbbá', 'a', 'működés', 'szükséges', 'számítástechnikai', 'eszköz', 'beszerzés']
1011-2020	Szarvasmarha telep korszerűsítés. Hivatkozási szám: EKR001656042019	Szarvasmarha telep korszerűsítése (3-4 egybevont ütemek) Részekre történő ajánlattételi kizárása: Ajánlatkérő rögzíti, hogy a kivitelezési terület egysége miatt a részekre történő ajánlattétel nem biztosítható. A tervezett beruházás organizáció szempontjából nem szétválasztható teljesítési helyen található.	45200000|45210000|45213000|45213240|45213242|45213250|45233228	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45	['tápturbina', 'rekonstrukció', 'javítás', 'karbantartás']
