id	title	shortDescription	cpvs	AwCritLacksIndicator	AwCritMethodMissingIndicator	AwCritPaymentDeadlineCondIndicator	ContrDescCartellingIndicator	CountOfInvOpsNoCondIndicator	DeadlineIsTightIndicator	DurationLongOrIndefiniteIndicator	FinAbEquityCondIndicator	FinAbMissingMinCondIndicator	FinAbRevenueCondExceedEstimValIndicator	FinAbRevenueCondManyYearsIndicator	FwAgFewParticipantsIndicator	FwAgHighEstimatedValueIndicator	FwAgLongDurationIndicator	FwAgOneParticipantIndicator	HighEstimatedValueIndicator	OfferGuaranteeIsHighIndicator	OpeningDateDiffersFromDeadlineIndicator	PersSitMissingCondIndicator	ProcTypeAcceleratedIndicator	ProcTypeNegotiatedNoJustificationIndicator	RenewalOfContractIndicator	TechCapEURefCondIndicator	TechCapExpertsExpCondManyYearsIndicator	TechCapGeoCondIndicator	TechCapMissingMinCondIndicator	TechCapRefCondExceedEstimValIndicator	TechCapRefCondManyYearsIndicator	TechCapSingleContractRefCondIndicator
100519-2016	Az MTVA utómunka rendszerének bővítése és stúdió bejátszó beszerzése egyes részei (1. rész: utómunka rendszer bővítése és stúdió bejátszó beszerzése; 2.rész: meglévő utómunka rendszer bővítése).	Az MTVA utómunka rendszerének bővítése és stúdió bejátszó beszerzése egyes részei (1. rész: utómunka rendszer bővítése és stúdió bejátszó beszerzése; 2.rész: meglévő utómunka rendszer bővítése) a közbeszerzési dokumentumokban részletezettek szerint, adásvételi szerződés keretében.	32350000|48820000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100521-2016	Adásvételi szerződés – Az MTVA részére monitorozó és mérőrendszer beszerzése tárgyban.	Adásvételi szerződés – Az MTVA részére monitorozó és mérőrendszer beszerzése tárgyban.	30231310|32320000|32323500|38424000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100522-2016	A Ferencvárosi Intézmény Üzemeltetési Központ által üzemeltetett intézmények részére földgáz beszerzés.	Ferencvárosi Intézmény Üzemeltetési Központ által üzemeltetett intézmények részére földgáz beszerzés 1.7.2016 nap 6:00 – 1.10.2017 nap 6:00 közötti időszakra.	9123000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100523-2016	Adásvételi szerződés keretében hangszerek beszerzése.	Adásvételi szerződés keretében hangszerek beszerzése.	37300000|37311000|37313000|37314000	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100524-2016	Gyári új hidraulika és pneumatika alkatrészek szállítása. Hivatkozási szám: K1605	Gyári új hidraulika és pneumatika alkatrészek szállítása.	34913000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100525-2016	Adásvételi szerződés 21 darab személygépjármű beszerzésére.	Adásvételi szerződés 21 darab személygépjármű beszerzésére.	34110000|34114400	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100530-2016	Vállalkozási szerződés a Nemzeti Tengelysúly- és kapcsolódó ellenőrzéseket támogató hálózat kialakítása elnevezésű projektben független műszaki ellenőri feladatok ellátása tárgyában.	Vállalkozási szerződés a Nemzeti Tengelysúly- és kapcsolódó ellenőrzéseket támogató hálózat kialakítása elnevezésű projektben független műszaki ellenőri feladatok ellátása tárgyában.	71631000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100635-2014	A Pannon Egyetem infrastrukturális és informatikai fejlesztése tárgyú TIOP-1.3.1-07/2-2F-2009-0002 projekttel kapcsolatos laboratóriumi bútorok és irodabútorok beszerzése a C, D és J épületbe és azok helyszíni összeszerelése adásvételi szerződés keretében.	A Pannon Egyetem infrastrukturális és informatikai fejlesztése tárgyú TIOP-1.3.1-07/2-2F-2009-0002 projekttel kapcsolatos laboratóriumi bútorok és irodabútorok beszerzése a C, D és J épületbe és azok helyszíni összeszerelése adásvételi szerződés keretében.	39130000|39180000|45422100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100638-2018	CISCO hálózati eszközök szállítása és támogatása Hivatkozási szám: KBF/012/2018	CISCO hálózati eszközök szállítása és támogatása. — Az MNB két fő géptermében a központi számítógép-hálózati eszközök cseréje (2-2 db központi switch, 25 db géptermi access switch), — SAN direktorok cseréje (4 db), — DWDM-ek cseréje (4 db), — Wifi hálózat bővítése (központi felügyeleti eszköz, 20 db Wifi AP, valamint a vezetékes gerinc alkotóelemei), — kellékanyagok, kiegészítők, tartalék alkatrészek, — kapcsolódó támogatási és üzembe helyezési szolgáltatások, — Opcionális tételek: az MNB várható jövőbeni igényeinek eszközigénye. További információk a Közbeszerzési dokumentumok részét képező követelményspecifikációban találhatóak.	32428000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100683-2014	A Semmelweis Egyetem, Anatómiai, Szövet- és Fejlődéstani Intézet, Humánmorfológiai és Fejlődésbiológiai Intézet, MTA-KOKI Integratív Neuroendokrinológiai Kutatócsoport részére 1 db konfokális lézerpásztázó mikroszkóp beszerzése és karbantartása	A Semmelweis Egyetem, Anatómiai, Szövet- és Fejlődéstani Intézet, Humánmorfológiai és Fejlődésbiológiai Intézet, MTA-KOKI Integratív Neuroendokrinológiai Kutatócsoport részére 1 db konfokális lézerpásztázó mikroszkóp beszerzése és karbantartása.	38510000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100700-2019	Állatállomány gondozása és kapcsolódó feladatok Hivatkozási szám: EKR000046192019	Állatállomány gondozása és az ehhez kapcsolódó üzemeltetési feladatok ellátása, valamint kísérletekben való részvétel	77500000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100709-2019	Vállalkozási szerződés 3 db kitűző hajó fejlesztés Hivatkozási szám: EKR000953812018	„Vállalkozási szerződés 3 db kitűző hajó fejlesztésére”	34933000|38425300|48951000|50241000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100715-2019	Központi Klinikai Vizsgálati Koord. működtetése Hivatkozási szám: EKR000578442018	Keretmegállapodás egy ajánlattevővel SMO (Site Management Organisation) által nyújtott szolgáltatások igénybevételére, az Intézetben folyó, a szponzori megrendelések alapján végzett, a klinikai vizsgálatokkal kapcsolatos adminisztratív-koordinációs feladatok teljeskörű ellátására, a klinikai vizsgálati projektek teljes folyamatában az adott vizsgálati projekt lezárásáig/befejezéséig.	73200000|73210000|73220000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100741-2014	A Pannon Egyetem infrastrukturális és informatikai fejlesztése tárgyú TIOP-1.3.1-07/2-2F-2009-0002 projekttel kapcsolatos irodabútorok és laboratóriumi bútorok beszerzése az I épületbe és azok helyszíni összeszerelése adásvételi szerződés keretében.	A Pannon Egyetem infrastrukturális és informatikai fejlesztése tárgyú TIOP-1.3.1-07/2-2F-2009-0002 projekttel kapcsolatos irodabútorok és laboratóriumi bútorok beszerzése az I épületbe és azok helyszíni összeszerelése adásvételi szerződés keretében.	39130000|39180000|45422100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100745-2019	Skatepark tervdokumentációjának elkészítése Hivatkozási szám: EKR000211262019	„A Tócóvölgy gazdaságélénkítő környezeti megújítása” című projekt keretében megvalósuló Skatepark tervdokumentációjának elkészítése	71320000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100763-2019	Egészségbiztosítási szerződés Hivatkozási szám: EKR000119142019	Az ELI-HU Nonprofit Kft. részére szolgáltatásfinanszírozó egészségbiztosítás - beleértve a szolgáltatásszervezést is - fedezetének beszerzése 12 hónap + 12 hónap határozott tartamú szerződés megkötésével.	66512200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100787-2014	Tisztítószerek és takarítóeszközök beszerzése szállítási szerződés keretében.	Szállítási szerződés keretében tisztítószerek és takarítóeszközök beszerzése.	19640000|33711900|33760000|39224300|39224320|39811100|39822000|39830000|39831000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100828-2013	Vállalkozási szerződés műtőasztalok, műtőlámpák, vizsgáló lámpák javítása, szervizelése tárgyban.	Vállalkozási szerződés műtőasztalok, műtőlámpák, vizsgáló lámpák javítása, szervizelése tárgyban. Az Ajánlatkérő „full” szerződésre kér ajánlatot. Az Ajánlattevőnek a szerződés keretében folyamatosan el kell végezni és dokumentálni az „egészségügyi eszközökre” jogszabály által előírt biztonsági felülvizsgálatokat.	50421000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100837-2019	Zöld-fehér magazin kiadói szolgáltatásai Hivatkozási szám: EKR001017232018	A Ferencvárosi Torna Club életmód magazinjának a Zöld és Fehér Magazin kiadói, szerkesztő feladatai, grafikai és nyomdai munkálatai, valamint az elkészült lapszámok terjesztői feladatainak (csomagolás, szállítás) ellátása.	79970000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100842-2013	Vállalkozási szerződés Zirc város területén lévő települési szilárd hulladéklerakó, mint szennyező forrás és a lerakó által okozott szennyezés megszüntetése tárgyú, KEOP-2.4.0/B/2F/10-11-2012-0003 azonosító számú projekt keretében elvégzendő kármentesítés beavatkozási szakaszának megvalósítása tárgyában.	Vállalkozási szerződés Zirc város területén lévő települési szilárd hulladéklerakó, mint szennyező forrás és a lerakó által okozott szennyezés megszüntetése tárgyú, KEOP-2.4.0/B/2F/10-11-2012-0003 azonosító számú projekt keretében elvégzendő kármentesítés beavatkozási szakaszának megvalósítása tárgyában.	45100000|90513000|90733900|90740000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100853-2013	Műanyag csomagolási hulladékok gyűjtése és hasznosítása 2013. évre, szolgáltatás-megrendelési szerződés alapján.	Magyarország közigazgatási területén keletkező műanyag csomagolási hulladékok (EWC 15 01 02) gyűjtése és hasznosítása 2013. évre szolgáltatás-megrendelési szerződés keretében a környezetvédelmi termékdíjról szóló 2011. évi LXXXV. törvény 22. § (1) bekezdése alapján, az Országos Gyűjtési és Hasznosítási Terv (OGyHT) által meghatározott célérték elérése érdekében.	90500000|90511000|90511200|90512000|90514000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100861-2014	Földgáz energia beszerzése.	Földgáz energia szállítása az ajánlatkérők részére 1.7.2014., 06:00 CET – 1.7.2015., 06:00 CET időszakra vonatkozóan, teljes ellátás alapú földgáz energia kereskedelmi szerződés keretében.	9123000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100867-2013	Vállalkozási keretszerződés keretében rendezvényszervezés, szórólapozás (nyitó és zárórendezvények, sajtótájékoztatók, lakossági fórumok, a NIF Zrt. rendezvényei, EU kommunikációhoz tartozó szórólapozás).	Vállalkozási keretszerződés keretében rendezvényszervezés, szórólapozás (nyitó és zárórendezvények, sajtótájékoztatók, lakossági fórumok, a NIF Zrt. rendezvényei, EU kommunikációhoz tartozó szórólapozás).	55120000|79341400|79800000|79952000|79961000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100879-2014	Adásvételi szerződés – „Helyszíni ellenőrzést támogató, GPS technológián alapuló PDA készülékek beszerzése a Mezőgazdasági és Vidékfejlesztési Hivatal részére” tárgyában.	Szállítási szerződés – „GPS technológián alapuló PDA készülékek beszerzése a Mezőgazdasági és Vidékfejlesztési Hivatal részére” tárgyában.	38112100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100882-2013	Megbízási szerződés „Települési szennyvíztisztító telep bővítése és szennyvízcsatornázás Fegyverneken” KEOP-1.2.0/09-11-2011-0052 azonosítószámú projekt megvalósulási szakaszában FIDIC mérnöki, műszaki ellenőri feladatok ellátására.	Megbízási szerződés „Települési szennyvíztisztító telep bővítése és szennyvízcsatornázás Fegyverneken” KEOP-1.2.0/09-11-2011-0052 azonosítószámú projekt megvalósulási szakaszában FIDIC mérnöki, műszaki ellenőri feladatok ellátására.	71300000|71310000|71318000|71520000|71631000|71631300	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100900-2014	Földgáz energia beszerzése.	Földgáz energia beszerzése.	9123000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100902-2014	Földgáz energia beszerzése.	Földgáz energia szállítása az ajánlatkérő részére 1.7.2014., 06:00 CET – 1.7.2015., 06:00 CET időszakra vonatkozóan, teljes ellátás alapú földgáz energia kereskedelmi szerződés keretében.	9123000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100983-2013	Vállalkozási szerződés.	Budapest XI. kerület Újbuda Önkormányzatának fenntartásában és működtetésében, valamint működtetésében levő intézmények részére emelt szintű közétkeztetés biztosítása, konyhák gépészeti és infrastrukturális fejlesztésével, kapcsolódó szolgáltatások és árubeszerzések ellátásával.	39141000|39220000|39315000|45212420|45420000|45442100|45453000|50880000|55500000|55521200|90900000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101-2018	Dózsa György úti közvilágítási hálózatok és oszlopdíszítés kivitelezése, városligeti vízgerinc hálózatok tervezése és átépítése.	Dózsa György úti közvilágítási hálózatok és oszlopdíszítés kivitelezése, városligeti vízgerinc hálózatok tervezése és átépítése.	34993000|45112700|45231300|45232150|45233140|45233293|45234160|50232110|71220000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101001-2013	Nyírségi Ivóvízminőség-javító Projekthez (KEOP-1.3.0/2F/09-2010-0036) kapcsolódó FIDIC mérnöki feladatok ellátása.	Megbízási szerződés alapján Nyírségi Ivóvízminőség-javító Projekthez (KEOP-1. 3. 0/2F/09-2010-0036) kapcsolódó FIDIC mérnöki feladatok ellátása.	71248000|71318000|71520000|71631300	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101051-2020	Izzók és fénycsövek beszerzése a KEF részére Hivatkozási szám: EKR001652712019	Izzók és fénycsövek beszerzése a KEF részére	31530000|31531000|31531100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101062-2020	Tételes elsz.alá eső atezolizumab HA besz. 2020 Hivatkozási szám: EKR000013932020	Onkológiai megbetegedések kezelésére szolgáló tételes elszámolás alá eső atezolizumab hatóanyagot tartalmazó készítmény beszerzése 12 hónap aktív és 4 hónap passzív időszakra	33690000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1011-2020	Szarvasmarha telep korszerűsítés. Hivatkozási szám: EKR001656042019	Szarvasmarha telep korszerűsítése (3-4 egybevont ütemek) Részekre történő ajánlattételi kizárása: Ajánlatkérő rögzíti, hogy a kivitelezési terület egysége miatt a részekre történő ajánlattétel nem biztosítható. A tervezett beruházás organizáció szempontjából nem szétválasztható teljesítési helyen található.	45200000|45210000|45213000|45213240|45213242|45213250|45233228	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
