id	title	shortDescription	cpvs	AwCritLacksIndicator	AwCritMethodMissingIndicator	AwCritPaymentDeadlineCondIndicator	ContrDescCartellingIndicator	CountOfInvOpsNoCondIndicator	DeadlineIsTightIndicator	DurationLongOrIndefiniteIndicator	FinAbEquityCondIndicator	FinAbMissingMinCondIndicator	FinAbRevenueCondExceedEstimValIndicator	FinAbRevenueCondManyYearsIndicator	FwAgFewParticipantsIndicator	FwAgHighEstimatedValueIndicator	FwAgLongDurationIndicator	FwAgOneParticipantIndicator	HighEstimatedValueIndicator	OfferGuaranteeIsHighIndicator	OpeningDateDiffersFromDeadlineIndicator	PersSitMissingCondIndicator	ProcTypeAcceleratedIndicator	ProcTypeNegotiatedNoJustificationIndicator	RenewalOfContractIndicator	TechCapEURefCondIndicator	TechCapExpertsExpCondManyYearsIndicator	TechCapGeoCondIndicator	TechCapMissingMinCondIndicator	TechCapRefCondExceedEstimValIndicator	TechCapRefCondManyYearsIndicator	TechCapSingleContractRefCondIndicator	cpvs_filtered
100530-2016	Vállalkozási szerződés a Nemzeti Tengelysúly- és kapcsolódó ellenőrzéseket támogató hálózat kialakítása elnevezésű projektben független műszaki ellenőri feladatok ellátása tárgyában.	Vállalkozási szerződés a Nemzeti Tengelysúly- és kapcsolódó ellenőrzéseket támogató hálózat kialakítása elnevezésű projektben független műszaki ellenőri feladatok ellátása tárgyában.	71631000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71
100638-2018	CISCO hálózati eszközök szállítása és támogatása Hivatkozási szám: KBF/012/2018	CISCO hálózati eszközök szállítása és támogatása. — Az MNB két fő géptermében a központi számítógép-hálózati eszközök cseréje (2-2 db központi switch, 25 db géptermi access switch), — SAN direktorok cseréje (4 db), — DWDM-ek cseréje (4 db), — Wifi hálózat bővítése (központi felügyeleti eszköz, 20 db Wifi AP, valamint a vezetékes gerinc alkotóelemei), — kellékanyagok, kiegészítők, tartalék alkatrészek, — kapcsolódó támogatási és üzembe helyezési szolgáltatások, — Opcionális tételek: az MNB várható jövőbeni igényeinek eszközigénye. További információk a Közbeszerzési dokumentumok részét képező követelményspecifikációban találhatóak.	32428000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32
100683-2014	A Semmelweis Egyetem, Anatómiai, Szövet- és Fejlődéstani Intézet, Humánmorfológiai és Fejlődésbiológiai Intézet, MTA-KOKI Integratív Neuroendokrinológiai Kutatócsoport részére 1 db konfokális lézerpásztázó mikroszkóp beszerzése és karbantartása	A Semmelweis Egyetem, Anatómiai, Szövet- és Fejlődéstani Intézet, Humánmorfológiai és Fejlődésbiológiai Intézet, MTA-KOKI Integratív Neuroendokrinológiai Kutatócsoport részére 1 db konfokális lézerpásztázó mikroszkóp beszerzése és karbantartása.	38510000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38
100700-2019	Állatállomány gondozása és kapcsolódó feladatok Hivatkozási szám: EKR000046192019	Állatállomány gondozása és az ehhez kapcsolódó üzemeltetési feladatok ellátása, valamint kísérletekben való részvétel	77500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77
100745-2019	Skatepark tervdokumentációjának elkészítése Hivatkozási szám: EKR000211262019	„A Tócóvölgy gazdaságélénkítő környezeti megújítása” című projekt keretében megvalósuló Skatepark tervdokumentációjának elkészítése	71320000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71
100763-2019	Egészségbiztosítási szerződés Hivatkozási szám: EKR000119142019	Az ELI-HU Nonprofit Kft. részére szolgáltatásfinanszírozó egészségbiztosítás - beleértve a szolgáltatásszervezést is - fedezetének beszerzése 12 hónap + 12 hónap határozott tartamú szerződés megkötésével.	66512200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66
100828-2013	Vállalkozási szerződés műtőasztalok, műtőlámpák, vizsgáló lámpák javítása, szervizelése tárgyban.	Vállalkozási szerződés műtőasztalok, műtőlámpák, vizsgáló lámpák javítása, szervizelése tárgyban. Az Ajánlatkérő „full” szerződésre kér ajánlatot. Az Ajánlattevőnek a szerződés keretében folyamatosan el kell végezni és dokumentálni az „egészségügyi eszközökre” jogszabály által előírt biztonsági felülvizsgálatokat.	50421000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50
100837-2019	Zöld-fehér magazin kiadói szolgáltatásai Hivatkozási szám: EKR001017232018	A Ferencvárosi Torna Club életmód magazinjának a Zöld és Fehér Magazin kiadói, szerkesztő feladatai, grafikai és nyomdai munkálatai, valamint az elkészült lapszámok terjesztői feladatainak (csomagolás, szállítás) ellátása.	79970000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79
100853-2013	Műanyag csomagolási hulladékok gyűjtése és hasznosítása 2013. évre, szolgáltatás-megrendelési szerződés alapján.	Magyarország közigazgatási területén keletkező műanyag csomagolási hulladékok (EWC 15 01 02) gyűjtése és hasznosítása 2013. évre szolgáltatás-megrendelési szerződés keretében a környezetvédelmi termékdíjról szóló 2011. évi LXXXV. törvény 22. § (1) bekezdése alapján, az Országos Gyűjtési és Hasznosítási Terv (OGyHT) által meghatározott célérték elérése érdekében.	90500000|90511000|90511200|90512000|90514000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90
100861-2014	Földgáz energia beszerzése.	Földgáz energia szállítása az ajánlatkérők részére 1.7.2014., 06:00 CET – 1.7.2015., 06:00 CET időszakra vonatkozóan, teljes ellátás alapú földgáz energia kereskedelmi szerződés keretében.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91
100879-2014	Adásvételi szerződés – „Helyszíni ellenőrzést támogató, GPS technológián alapuló PDA készülékek beszerzése a Mezőgazdasági és Vidékfejlesztési Hivatal részére” tárgyában.	Szállítási szerződés – „GPS technológián alapuló PDA készülékek beszerzése a Mezőgazdasági és Vidékfejlesztési Hivatal részére” tárgyában.	38112100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38
100882-2013	Megbízási szerződés „Települési szennyvíztisztító telep bővítése és szennyvízcsatornázás Fegyverneken” KEOP-1.2.0/09-11-2011-0052 azonosítószámú projekt megvalósulási szakaszában FIDIC mérnöki, műszaki ellenőri feladatok ellátására.	Megbízási szerződés „Települési szennyvíztisztító telep bővítése és szennyvízcsatornázás Fegyverneken” KEOP-1.2.0/09-11-2011-0052 azonosítószámú projekt megvalósulási szakaszában FIDIC mérnöki, műszaki ellenőri feladatok ellátására.	71300000|71310000|71318000|71520000|71631000|71631300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71
100900-2014	Földgáz energia beszerzése.	Földgáz energia beszerzése.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91
100902-2014	Földgáz energia beszerzése.	Földgáz energia szállítása az ajánlatkérő részére 1.7.2014., 06:00 CET – 1.7.2015., 06:00 CET időszakra vonatkozóan, teljes ellátás alapú földgáz energia kereskedelmi szerződés keretében.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91
101001-2013	Nyírségi Ivóvízminőség-javító Projekthez (KEOP-1.3.0/2F/09-2010-0036) kapcsolódó FIDIC mérnöki feladatok ellátása.	Megbízási szerződés alapján Nyírségi Ivóvízminőség-javító Projekthez (KEOP-1. 3. 0/2F/09-2010-0036) kapcsolódó FIDIC mérnöki feladatok ellátása.	71248000|71318000|71520000|71631300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71
101051-2020	Izzók és fénycsövek beszerzése a KEF részére Hivatkozási szám: EKR001652712019	Izzók és fénycsövek beszerzése a KEF részére	31530000|31531000|31531100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31
101062-2020	Tételes elsz.alá eső atezolizumab HA besz. 2020 Hivatkozási szám: EKR000013932020	Onkológiai megbetegedések kezelésére szolgáló tételes elszámolás alá eső atezolizumab hatóanyagot tartalmazó készítmény beszerzése 12 hónap aktív és 4 hónap passzív időszakra	33690000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33
1011-2020	Szarvasmarha telep korszerűsítés. Hivatkozási szám: EKR001656042019	Szarvasmarha telep korszerűsítése (3-4 egybevont ütemek) Részekre történő ajánlattételi kizárása: Ajánlatkérő rögzíti, hogy a kivitelezési terület egysége miatt a részekre történő ajánlattétel nem biztosítható. A tervezett beruházás organizáció szempontjából nem szétválasztható teljesítési helyen található.	45200000|45210000|45213000|45213240|45213242|45213250|45233228	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45
101192-2020	40 db M3/II. kat. autóbusz beszerzése (PÜI lízingsz.) Hivatkozási szám: EKR000055622020	Új vagy újszerű, alacsony belépésű, 2 tengelyes szóló (M3/II. osztályú) autóbuszok beszerzése zárt végű pénzügyi lízingszerződés keretében. Mennyiség: 40 db Az újszerű definíció alatt Ajánlatkérő az alábbit érti: az egyes autóbuszok 1. forgalomba helyezésének ideje nem lehet korábbi mint, 3.2019, illetve az ajánlati felhívás feladásának pillanatában a futásteljesítmény (km telítettség) nem lehet több, mint 150 000 km, egyik autóbusz esetében sem. A műszaki követelmények alapján megajánlott autóbuszok mindegyikének azonos gyártmányúnak és kivitelűnek (egyformának) kell lennie. Folytatás: II.2.4) pontban.	34121000	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34
1012-2020	Dunakiliti jobb parti ártéri híd, kp. út építése Hivatkozási szám: EKR001612912019	Dunakiliti-Dobrohošt’ (Doborgaz) gyalogos-kerékpáros Duna-híd kiépítése a hozzá vezető szakaszokkal, műtárgyakkal fejlesztés keretében a magyar oldali megközelítő út és ártéri híd kivitelezése	45112700|45221110|45221113|45233123|45233162	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45
101218-2020	Villamosenergia beszerzése (750/2020) Hivatkozási szám: EKR000162632020	Villamosenergia versenypiaci beszerzése az Országgyűlés Hivatala fogyasztási helyei teljes körére kiterjedően, teljes ellátás alapú, fogyasztói menetrend adási kötelezettség nélkül. A villamos energiáról szóló 2007. évi LXXXVI. törvény (a továbbiakban: VET) 63.§-ának (1) bekezdése alapján a hálózati csatlakozási, hálózathasználati és villamosenergia-vásárlási szerződések összevont kezelése, a hálózathasználathoz szükséges szerződések megkötése, az ajánlattevő által képviselt mérlegkörhöz történő csatlakozás. A villamosenergia feszültségjellemzői az MSZ EN 50160:2011 (A közcélú elosztóhálózatokon szolgáltatott villamosenergia feszültségjellemzői) és az MSZ 1:2002 (Szabványos villamos feszültségek) szabványok által meghatározott értékek szerint.	9310000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93
101241-2017	Adásvételi szerződés rehabilitációs készülékek beszerzésére.	Adásvételi szerződés fizikoterápiás készülékek és műszerek beszerzésére.	33155000|33165000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	33
101245-2017	CNG üzemanyag (chipkártyás) beszerzése. Hivatkozási szám: K1771	CNG üzemanyag (chipkártyás) beszerzése.	9000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90
101270-2018	Vállalkozási szerződés integrált ellenőrzésdokumentálási, beszámolási és auditmunkafolyamat-támogató workflowrendszer bevezetésére az EUTAF részére.	Vállalkozási szerződés integrált ellenőrzésdokumentálási, beszámolási és auditmunkafolyamat-támogató workflowrendszer bevezetésére az EUTAF részére.	72211000|72261000|72262000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72
101282-2018	Természetvédelmi felmérések, vizsgálatok és mérések elvégzése SKHU/1601/1.1/035 azonosító számú projekt keretében	Természetvédelmi felmérések, vizsgálatok és mérések elvégzése SKHU/1601/1.1/035 azonosító számú projekt keretében.	71353000|98300000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71
101291-2018	Velence közterületi parkjainak gondozása, fenntartása vállalkozási szerződés keretében	Velence közterületi parkjainak gondozása, fenntartása vállalkozási szerződés keretében.	77313000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77
101302-2018	Megbízási szerződés a „Battonya város szennyvízelvezetésének és -tisztításának bővítése, korszerűsítése” elnevezésű, KEHOP-2.2.2-15-2015-00008 projekt keretében műszaki ellenőri tevékenység ellátására	Megbízási szerződés a „Battonya város szennyvízelvezetésének és -tisztításának bővítése, korszerűsítése” elnevezésű, KEHOP-2.2.2-15-2015-00008 projekt keretében műszaki ellenőri tevékenység ellátására.	71248000|71318000|71520000|71631000	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71
101358-2017	SIMON monitoring rendszer CRFS, CommsAudit és IZT gyártmányú műszereinek fejlesztése.	SIMON monitoring rendszer CRFS, CommsAudit és IZT gyártmányú műszereinek fejlesztése.	38552000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38
1014-2020	Földmunka keretszerződés 2019 Hivatkozási szám: EKR001517972019	Földmunka keretszerződés 2019	45110000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45
101541-2015	Földgáz energia szállítása teljes ellátás alapú földgáz-kereskedelmi szerződés keretében, 2015–2016. évre, Szeged Megyei Jogú Város Önkormányzata (mint Ajánlatkérő Gesztor) egyes 100 %-os tulajdonában levő gazdasági társaságai és fenntartása alatt álló, valamint az általa működtetett oktatási intézményei, a Szegedi Kistérség Szociális Intézménye, összesen 15 Kontakt Szervezethez tartozó felhasználási helyeinek tekintetében.	Földgáz energia szállítása teljes ellátás alapú földgáz-kereskedelmi szerződés keretében, 2015–2016. évre, Szeged Megyei Jogú Város Önkormányzata (mint Ajánlatkérő Gesztor) egyes 100 %-os tulajdonában levő gazdasági társaságai és egyes fenntartása alatt álló, valamint az általa működtetett oktatási intézményei, a Szegedi Kistérség Szociális Intézménye, összesen 15 Kontakt Szervezethez tartozó felhasználási helyeinek tekintetében.	9130000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91
101558-2015	Földgáz energia beszerzése.	Földgáz energia szállítása az ajánlatkérő részére 1.7.2015. 6:00 CET – 1.10.2016. 6:00 CET időszakra vonatkozóan, teljes ellátás alapú földgáz energia kereskedelmi szerződés keretében.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91
1017-2020	Viziorgona u 8. és a Zipernovszky u felújítás Hivatkozási szám: EKR001645622019	1039 Budapest, Viziorgona utca 8. és a Zipernovszky Károly utca 1-3. szám alatti ingatlanok átalakítása és felújítása részajánlattétel keretében A közbeszerzési eljárás a Kbt. 53. § (6) bekezdése alapján feltételesen indul, figyelemmel arra, hogy a kivitelezés finanszírozására Megrendelő Támogatói Okirattal (Ikt. szám: 24823-1/2019/EGST) rendelkezik, 1333/2016. (VII.04) Korm. határozat alapján az Egészséges Budapest Program keretében. Támogató az Emberi Erőforrások Minisztériuma.	45000000|45111100|45223300|45260000|45315100|45421100|45430000|45442100|45453100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45
101723-2017	Archiválási és vírus licencek követése, támogatása. Hivatkozási szám: KF-2016/0000019	1. rész: Szoftverkövetési szerződés (licencfrissítés) már rendelkezésre álló Symantec licencekre vonatkozóan. 2. rész: Szoftvertámogatási szerződés már rendelkezésre álló Symantec licencekre vonatkozóan.	72260000|72261000|72268000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72
1018-2020	Vörösvári út 88-89 alatti rendelőintézet felújítás Hivatkozási szám: EKR001646032019	Az Egészséges Budapest Program keretében a 1032 Budapest, Vörösvári út 88-89. szám alatti rendelőintézet átalakítása és felújítása.	45000000|45111100|45215100|45223300|45315100|45453100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45
