MKB9	MKB9	PROPN	Case=Nom|Number=Sing	
lakossági	lakossági	ADJ	Case=Nom|Degree=Pos|Number=Sing	
gyűjtésből	gyűjtés	NOUN	Case=Ela|Number=Sing	
származó	származó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
papír	papír	NOUN	Case=Nom|Number=Sing	
csomagolási	csomagolási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hulladék	hulladék	NOUN	Case=Nom|Number=Sing	
hasznosítása	hasznosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
kezelési	kezelési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kód	kód	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
R3	R3	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
kivéve	kivéve	ADV	_	
:	:	PUNCT	_	
R12	R12	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
R13	R13	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
2018.	2018.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
évben	év	NOUN	Case=Ine|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
9-10	9-10	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
részben	részben	ADV	_	
,	,	PUNCT	_	
szolgáltatás-megrendelési	szolgáltatás-megrendelési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
környezetvédelmi	környezetvédelmi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
termékdíjról	termékdíj	NOUN	Case=Del|Number=Sing	
szóló	szóló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
2011.	2011.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
évi	évi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
LXXXV	85	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
törvény	törvény	NOUN	Case=Nom|Number=Sing	
22.	22.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
§	§	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
1	1	NUM	Case=Nom|NumType[sem]=Time|Number=Sing	
)	)	PUNCT	_	
bekezdés	bekezdés	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
50	50	NUM	Case=Nom|NumType=Card|Number=Sing	
030	030	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
50	50	NUM	Case=Nom|NumType=Card|Number=Sing	
030	030	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
50	50	NUM	Case=Nom|NumType=Card|Number=Sing	
030	030	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
27	27	NUM	Case=Nom|NumType=Card|Number=Sing	
300	300	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
27	27	NUM	Case=Nom|NumType=Card|Number=Sing	
300	300	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
27	27	NUM	Case=Nom|NumType=Card|Number=Sing	
300	300	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
14	14	NUM	Case=Nom|NumType=Card|Number=Sing	
005	005	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
14	14	NUM	Case=Nom|NumType=Card|Number=Sing	
005	005	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
9.	9.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
15	15	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
10.	10.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
15	15	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	

