MKB10	MKB10	PROPN	Case=Nom|Number=Sing	
2011.	2011.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
évi	évi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
LXXXV	85	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
törvény	törvény	NOUN	Case=Nom|Number=Sing	
22.	22.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
§	§	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
bekezdése	bekezdés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
8	8	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
8	8	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
8	8	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
750	750	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
750	750	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
750	750	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
750	750	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
9.	9.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
10.	10.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
11.	11.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
12.	12.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
13.	13.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	

