I.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
határon	határ	NOUN	Case=Sup|Number=Sing	
túli	túli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kutatások	kutatás	NOUN	Case=Nom|Number=Plur	
)	)	PUNCT	_	
(	(	PUNCT	_	
tudományos	tudományos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kutatás	kutatás	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Kvalitatív	kvalitatív	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
kvantitatív	kvantitatív	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kutatási	kutatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tanulmány	tanulmány	NOUN	Case=Nom|Number=Sing	
készítése	készítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

Kérdőíves	kérdőíves	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
interjús	interjús	ADJ	Case=Nom|Degree=Pos|Number=Sing	
adatfelvétel	adatfelvétel	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
4800	4800	NUM	Case=Nom|NumType=Card|Number=Sing	
fős	fős	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kérdőíves	kérdőíves	ADJ	Case=Nom|Degree=Pos|Number=Sing	
adatfelvétel	adatfelvétel	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
18	18	NUM	Case=Nom|NumType=Card|Number=Sing	
csoportos	csoportos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
40	40	NUM	Case=Nom|NumType=Card|Number=Sing	
egyéni	egyéni	ADJ	Case=Nom|Degree=Pos|Number=Sing	
interjús	interjús	ADJ	Case=Nom|Degree=Pos|Number=Sing	
adatfelvétel	adatfelvétel	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Szakmapolitikai	szakmapolitikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
ajánlások	ajánlás	NOUN	Case=Nom|Number=Plur	
kidolgozása	kidolgozás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	

