MKB7	MKB7	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
2011.	2011.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
évi	évi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
LXXXV	85	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
törvény	törvény	NOUN	Case=Nom|Number=Sing	
22.	22.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
§	§	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
1	1	NUM	Case=Nom|NumType[sem]=Time|Number=Sing	
)	)	PUNCT	_	
bekezdés	bekezdés	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
11	11	NUM	Case=Nom|NumType=Card|Number=Sing	
részben	rész	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
15	15	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
44	44	NUM	Case=Nom|NumType=Card|Number=Sing	
160	160	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
360	360	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
360	360	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
360	360	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
360	360	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
360	360	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
360	360	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
250	250	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
680	680	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
9.	9.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
250	250	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
680	680	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
10.	10.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
250	250	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
680	680	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
11.	11.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
250	250	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelyből	amely	PRON	Case=Ela|Number=Sing|Person=3|PronType=Rel	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
680	680	NUM	Case=Nom|NumType=Card|Number=Sing	
kg-ot	kg	NOUN	Case=Acc|Number=Sing	
Termékként	termék	NOUN	Case=Abs|Number=Sing	
tovább	tovább	ADV	_	
nem	nem	ADV	PronType=Neg	
használható	használható	ADJ	Case=Nom|Degree=Pos|Number=Sing	
mobiltelefon	mobiltelefon	NOUN	Case=Nom|Number=Sing	
hulladékból	hulladék	NOUN	Case=Ela|Number=Sing	
kell	kell	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
teljesíteni	teljesít	VERB	VerbForm=Inf|Voice=Act	
.	.	PUNCT	_	

