A	a	DET	Definite=Def|PronType=Art	
erősítésű	erősítésű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
vékony	vékony	ADJ	Case=Nom|Degree=Pos|Number=Sing	
falú	falú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
műerek	műér	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
heparin	hepari	NOUN	Case=Sup|Number=Sing	
bevonattal	bevonat	NOUN	Case=Ins|Number=Sing	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Dacron	Dacron	PROPN	Case=Nom|Number=Sing	
alapanyagú	alapanyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
antimikrobiális	antimikrobiális	ADJ	Case=Nom|Degree=Pos|Number=Sing	
ezüsttel	ezüst	NOUN	Case=Ins|Number=Sing	
impregnált	impregnált	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
protézisek	protézis	NOUN	Case=Nom|Number=Plur	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Carotis	carotis	ADV	_	
műtéthez	műtét	NOUN	Case=All|Number=Sing	
használatos	használatos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
shunt	shunt	ADJ	Case=Nom|Degree=Pos|Number=Sing	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Pericardiumból	Pericardium	PROPN	Case=Ela|Number=Sing	
készült	készült	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
folt	folt	NOUN	Case=Nom|Number=Sing	
érfal	érfal	NOUN	Case=Nom|Number=Sing	
záráshoz	zárás	NOUN	Case=All|Number=Sing	
/	/	PUNCT	_	
pótláshoz	pótlás	NOUN	Case=All|Number=Sing	

