1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hibajavítás	hibajavítás	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
PTE	PTE	PROPN	Case=Nom|Number=Sing	
ÁOK	ÁOK	PROPN	Case=Nom|Number=Sing	
telephelyen	telephely	NOUN	Case=Sup|Number=Sing	
25	25	NUM	Case=Nom|NumType=Card|Number=Sing	
650	650	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
keretösszeg	keretösszeg	NOUN	Case=Nom|Number=Sing	
erejéig	erő	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
légkezelő	légkezelő	NOUN	Case=Nom|Number=Sing	
karbantartása	karbantartás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hibajavítása	hibajavítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
ÁJK-KTK	ÁJK-KTK	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Kancellária	kancellária	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
BTK-TTK	BTK-TTK	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
ETK	ETK	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Uszoda	uszoda	NOUN	Case=Nom|Number=Sing	
telephelyein	telephely	NOUN	Case=Sup|Number=Plur|Number[psor]=Sing|Person[psor]=3	
34	34	NUM	Case=Nom|NumType=Card|Number=Sing	
200	200	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
keretösszeg	keretösszeg	NOUN	Case=Nom|Number=Sing	
erejéig	erő	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
légkezelő	légkezelő	NOUN	Case=Nom|Number=Sing	
karbantartása	karbantartás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hibajavítás	hibajavítás	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
PTE	PTE	PROPN	Case=Nom|Number=Sing	
JP	JP	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Klinikai	klinikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Tömb	tömb	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Szívgyógy	szívgyógy	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Klinika	Klinika	PROPN	Case=Nom|Number=Sing	
telephelyein	telephely	NOUN	Case=Sup|Number=Plur|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
59	59	NUM	Case=Nom|NumType=Card|Number=Sing	
850	850	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
keretösszeg	keretösszeg	NOUN	Case=Nom|Number=Sing	
erejéig	erő	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
légkezelők	légkezelő	NOUN	Case=Nom|Number=Plur	
karbantartása	karbantartás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hibajavítás	hibajavítás	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
Szülészeti-Onkoterápia	Szülészeti-Onkoterápia	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Onkológia	onkológia	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Szemészeti	szemészeti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Klinika	Klinika	PROPN	Case=Nom|Number=Sing	
telephelyein	telephely	NOUN	Case=Sup|Number=Plur|Number[psor]=Sing|Person[psor]=3	
20	20	NUM	Case=Nom|NumType=Card|Number=Sing	
520	520	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
keretösszeg	keretösszeg	NOUN	Case=Nom|Number=Sing	
erejéig	erő	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
légkezelők	légkezelő	NOUN	Case=Nom|Number=Plur	
karbantartása	karbantartás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hibajavítás	hibajavítás	NOUN	Case=Nom|Number=Sing	
II	II	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Belgyógy	Belgyógy	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Klinika	Klinika	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Akác	akác	NOUN	Case=Nom|Number=Sing	
u.	u.	PROPN	Case=Nom|Number=Sing	
TH	TH	PROPN	Case=Nom|Number=Sing	
telephelyein	telephely	NOUN	Case=Sup|Number=Plur|Number[psor]=Sing|Person[psor]=3	
18	18	NUM	Case=Nom|NumType=Card|Number=Sing	
810	810	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
keretösszeg	keretösszeg	NOUN	Case=Nom|Number=Sing	
erejéig	erő	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

A	a	DET	Definite=Def|PronType=Art	
karbantartás	karbantartás	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hibajavítás	hibajavítás	NOUN	Case=Nom|Number=Sing	
feltételeit	feltétel	NOUN	Case=Acc|Number=Plur|Number[psor]=Sing|Person[psor]=3	
1-6	1-6	NUM	Case=Nom|NumType=Card|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
tekintetében	tekintet	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
közbesz	közbesz	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
dok	d	NOUN	Case=Nom|Number=Plur	
.	.	PUNCT	_	
tartalmazza	tartalmaz	VERB	Definite=Def|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

