Mosonmagyaróvár	Mosonmagyaróvár	PROPN	Case=Nom|Number=Sing	
39,10+130,50+66,70	39,10+130,50+66,70	PROPN	Case=Nom|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Frac|Number=Sing	
1075	1075	NUM	Case=Nom|NumType=Card|Number=Sing	
/	/	PUNCT	_	
43	43	NUM	Case=Nom|NumType=Card|Number=Sing	
Hrsz.	Hrsz.	PROPN	Case=Nom|Number=Sing	
ingatlanon	ingatlan	NOUN	Case=Sup|Number=Sing	
:	:	PUNCT	_	
Épület	épület	NOUN	Case=Nom|Number=Sing	
összes	összes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
br.	br.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
alapter	alapter	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

:	:	PUNCT	_	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
086,25	086,25	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
Parkolók	parkoló	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
közl	közl	NOUN	Case=Ins|Number=Sing	
.	.	PUNCT	_	
utak	út	NOUN	Case=Nom|Number=Plur	
összes	összes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
br.	br.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
alapter	alapter	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

:	:	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
683,64	683,64	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
Zöldter	Zöldter	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

:	:	PUNCT	_	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
230,11	230,11	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Frac|Number=Sing	
1075	1075	NUM	Case=Nom|NumType=Card|Number=Sing	
/	/	PUNCT	_	
44.	44.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

Hrsz.	Hrsz.	PROPN	Case=Nom|Number=Sing	
ingatl	ingatl	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Parkolók	parkoló	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
közl	közl	NOUN	Case=Ins|Number=Sing	
.	.	PUNCT	_	
utak	út	NOUN	Case=Nom|Number=Plur	
összes	összes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
br.	br.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
alapter	alapter	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
080,40	080,40	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
Zöldter	Zöldter	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
100,60	100,60	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
Ép	ép	ADJ	Case=Nom|Degree=Pos|Number=Sing	
.	.	PUNCT	_	
magasság	magasság	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
7,43	7,43	NUM	Case=Nom|NumType=Frac|Number=Sing	
m	m	NOUN	Case=Nom|Number=Sing	

